period,week_start,iso_year,iso_week,month,season,is_holiday_period,is_weekend,previous_occupancy,rolling_4_week_occupancy,known_reservations_30d_before,known_guest_count_30d_before,known_average_nights_30d_before,occupied_accommodations,active_reservations,guests_on_site,average_nights,occupancy_rate
2022-W52,2022-12-26,2022,52,12,0,1,0,0.0,0.0,3,11,5.333333333333333,3.0,3.0,11.0,5.333333333333333,2.5
2023-W01,2023-01-02,2023,1,1,0,1,1,2.5,2.5,13,153,6.160714285714286,8.0,8.0,21.857142857142858,6.145124716553288,6.666666666666666
2023-W02,2023-01-09,2023,2,1,0,0,1,6.666666666666666,4.583333333333333,11,107,6.4,7.0,7.0,18.285714285714285,6.174319727891157,5.833333333333334
2023-W03,2023-01-16,2023,3,1,0,0,1,5.833333333333334,5.0,14,111,4.390243902439025,6.142857142857143,6.142857142857143,16.142857142857142,4.604761904761905,5.119047619047619
2023-W04,2023-01-23,2023,4,1,0,0,1,5.119047619047619,5.029761904761905,12,53,3.5416666666666665,3.4285714285714284,3.4285714285714284,7.571428571428571,3.4404761904761902,2.857142857142857
2023-W05,2023-01-30,2023,5,1,0,0,1,2.857142857142857,5.119047619047619,14,93,4.170731707317073,7.285714285714286,7.285714285714286,15.857142857142858,4.500283446712018,6.071428571428571
2023-W06,2023-02-06,2023,6,2,0,0,1,6.071428571428571,4.970238095238095,11,76,4.241379310344827,6.0,6.0,16.428571428571427,4.823015873015874,5.0
2023-W07,2023-02-13,2023,7,2,0,0,1,5.0,4.761904761904762,13,117,4.121951219512195,7.142857142857143,7.142857142857143,21.0,4.3841269841269845,5.952380952380952
2023-W08,2023-02-20,2023,8,2,0,0,1,5.952380952380952,4.970238095238095,20,179,4.409836065573771,9.0,9.0,26.428571428571427,4.381859410430839,7.5
2023-W09,2023-02-27,2023,9,2,0,0,1,7.5,6.1309523809523805,12,87,5.074074074074074,5.142857142857143,5.142857142857143,16.0,4.632142857142857,4.285714285714286
2023-W10,2023-03-06,2023,10,3,1,0,1,4.285714285714286,5.684523809523808,12,110,4.375,5.857142857142857,5.857142857142857,16.142857142857142,4.407482993197279,4.8809523809523805
2023-W11,2023-03-13,2023,11,3,1,0,1,4.8809523809523805,5.654761904761904,14,75,4.294117647058823,7.142857142857143,7.142857142857143,18.285714285714285,4.402380952380953,5.952380952380952
2023-W12,2023-03-20,2023,12,3,1,0,1,5.952380952380952,5.654761904761905,17,143,4.490566037735849,9.571428571428571,9.571428571428571,26.857142857142858,4.229004329004328,7.976190476190475
2023-W13,2023-03-27,2023,13,3,1,0,1,7.976190476190475,5.773809523809524,11,77,4.185185185185185,6.142857142857143,6.142857142857143,16.0,4.415136054421769,5.1190476190476195
2023-W14,2023-04-03,2023,14,4,1,0,1,5.1190476190476195,5.982142857142858,19,193,4.053571428571429,8.571428571428571,8.571428571428571,29.285714285714285,4.059750566893424,7.142857142857143
2023-W15,2023-04-10,2023,15,4,1,0,1,7.142857142857143,6.5476190476190474,26,172,4.075757575757576,10.714285714285714,10.714285714285714,30.285714285714285,4.461904761904762,8.928571428571429
2023-W16,2023-04-17,2023,16,4,1,0,1,8.928571428571429,7.291666666666667,34,230,4.288888888888889,15.571428571428571,15.571428571428571,42.0,4.300349431270484,12.976190476190476
2023-W17,2023-04-24,2023,17,4,1,1,1,12.976190476190476,8.541666666666666,51,525,6.531428571428571,25.714285714285715,25.714285714285715,78.14285714285714,6.384728342014692,21.428571428571427
2023-W18,2023-05-01,2023,18,5,1,1,1,21.428571428571427,12.619047619047619,68,735,7.890243902439025,35.142857142857146,35.142857142857146,105.0,7.885580775480157,29.285714285714285
2023-W19,2023-05-08,2023,19,5,1,1,1,29.285714285714285,18.154761904761905,72,742,8.724806201550388,36.857142857142854,36.857142857142854,106.0,8.715073162131985,30.714285714285715
